# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
247 0.00953187 0.00946571 0.00948842 0.028486
248 0.00952751 0.00945772 0.00948087 0.0284661
249 0.00952311 0.00944968 0.00947324 0.028446
250 0.00951868 0.00944157 0.00946553 0.0284258
251 0.0095142 0.00943341 0.00945774 0.0284054
252 0.00950969 0.00942521 0.00944988 0.0283848
253 0.00950513 0.00941695 0.00944196 0.028364
254 0.00950053 0.00940866 0.00943397 0.0283432
255 0.00949589 0.00940032 0.00942591 0.0283221
256 0.00949121 0.00939195 0.00941779 0.028301
257 0.00948649 0.00938355 0.00940961 0.0282796
258 0.00948172 0.00937512 0.00940137 0.0282582
259 0.00947691 0.00936667 0.00939307 0.0282366
260 0.00947205 0.0093582 0.00938472 0.028215
261 0.00946714 0.00934971 0.00937631 0.0281932
262 0.00946218 0.0093412 0.00936785 0.0281712
263 0.00945717 0.00933269 0.00935935 0.0281492
264 0.00945211 0.00932417 0.00935079 0.0281271
265 0.00944699 0.00931564 0.00934219 0.0281048
266 0.00944182 0.00930711 0.00933354 0.0280825
267 0.00943659 0.00929859 0.00932485 0.02806
268 0.00943131 0.00929007 0.00931611 0.0280375
269 0.00942596 0.00928155 0.00930733 0.0280148
270 0.00942055 0.00927305 0.00929851 0.0279921
271 0.00941507 0.00926455 0.00928965 0.0279693
272 0.00940953 0.00925607 0.00928075 0.0279464
273 0.00940392 0.0092476 0.00927181 0.0279233
274 0.00939824 0.00923915 0.00926283 0.0279002
275 0.00939249 0.00923072 0.00925382 0.027877
276 0.00938667 0.0092223 0.00924477 0.0278537
277 0.00938077 0.0092139 0.00923569 0.0278304
278 0.00937479 0.00920551 0.00922657 0.0278069
279 0.00936873 0.00919715 0.00921742 0.0277833
280 0.0093626 0.0091888 0.00920823 0.0277596
281 0.00935638 0.00918048 0.00919901 0.0277359
282 0.00935008 0.00917217 0.00918976 0.027712
283 0.00934369 0.00916387 0.00918048 0.027688
284 0.00933721 0.0091556 0.00917117 0.027664
285 0.00933065 0.00914734 0.00916182 0.0276398
286 0.009324 0.00913909 0.00915244 0.0276155
287 0.00931726 0.00913086 0.00914304 0.0275912
288 0.00931044 0.00912264 0.0091336 0.0275667
289 0.00930351 0.00911443 0.00912414 0.0275421
290 0.0092965 0.00910623 0.00911464 0.0275174
291 0.0092894 0.00909804 0.00910512 0.0274926
292 0.0092822 0.00908986 0.00909557 0.0274676
293 0.00927491 0.00908169 0.00908599 0.0274426
294 0.00926752 0.00907352 0.00907638 0.0274174
295 0.00926004 0.00906535 0.00906675 0.0273921
296 0.00925247 0.00905719 0.00905709 0.0273668
297 0.00924481 0.00904902 0.00904741 0.0273412
298 0.00923705 0.00904086 0.00903771 0.0273156
299 0.0092292 0.0090327 0.00902798 0.0272899
300 0.00922126 0.00902454 0.00901823 0.027264
301 0.00921323 0.00901638 0.00900846 0.0272381
302 0.0092051 0.00900822 0.00899867 0.027212
303 0.00919689 0.00900005 0.00898887 0.0271858
304 0.00918859 0.00899189 0.00897904 0.0271595
305 0.00918021 0.00898372 0.00896921 0.0271331
306 0.00917174 0.00897555 0.00895936 0.0271066
307 0.00916318 0.00896738 0.0089495 0.0270801
308 0.00915455 0.00895921 0.00893963 0.0270534
309 0.00914584 0.00895105 0.00892975 0.0270266
310 0.00913705 0.00894288 0.00891987 0.0269998
311 0.00912818 0.00893472 0.00890999 0.0269729
312 0.00911925 0.00892657 0.00890011 0.0269459
313 0.00911024 0.00891842 0.00889023 0.0269189
314 0.00910117 0.00891028 0.00888035 0.0268918
315 0.00909204 0.00890214 0.00887048 0.0268647
316 0.00908284 0.00889403 0.00886062 0.0268375
317 0.00907359 0.00888592 0.00885077 0.0268103
318 0.00906429 0.00887783 0.00884094 0.0267831
319 0.00905494 0.00886976 0.00883112 0.0267558
320 0.00904554 0.00886172 0.00882133 0.0267286
321 0.0090361 0.00885369 0.00881155 0.0267013
322 0.00902663 0.00884569 0.0088018 0.0266741
323 0.00901712 0.00883772 0.00879208 0.0266469
324 0.00900758 0.00882978 0.00878239 0.0266198
325 0.00899802 0.00882187 0.00877274 0.0265926
326 0.00898844 0.008814 0.00876312 0.0265656
327 0.00897884 0.00880617 0.00875354 0.0265386
328 0.00896923 0.00879838 0.00874401 0.0265116
329 0.00895961 0.00879063 0.00873452 0.0264848
330 0.00894999 0.00878293 0.00872509 0.026458
331 0.00894037 0.00877528 0.0087157 0.0264313
332 0.00893075 0.00876768 0.00870638 0.0264048
333 0.00892115 0.00876014 0.00869711 0.0263784
