# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
255 -0.0230686 -0.0319076 -0.0142908 -0.0692669
256 -0.0225473 -0.0313281 -0.0136256 -0.0675009
257 -0.0220682 -0.0307841 -0.0129997 -0.065852
258 -0.0216291 -0.0302736 -0.0124114 -0.0643141
259 -0.0212276 -0.0297945 -0.0118587 -0.0628808
260 -0.0208614 -0.0293447 -0.0113399 -0.0615459
261 -0.0205282 -0.0289221 -0.010853 -0.0603033
262 -0.0202259 -0.0285244 -0.0103964 -0.0591467
263 -0.019952 -0.0281496 -0.0099681 -0.0580697
264 -0.0197044 -0.0277955 -0.00956636 -0.0570663
265 -0.0194808 -0.02746 -0.00918934 -0.0561302
266 -0.0192791 -0.0271408 -0.00883522 -0.0552551
267 -0.0190969 -0.0268359 -0.00850219 -0.0544351
268 -0.0189323 -0.0265432 -0.00818844 -0.0536639
269 -0.0187829 -0.0262604 -0.00789215 -0.0529354
270 -0.0186467 -0.0259855 -0.00761153 -0.0522437
271 -0.0185215 -0.0257165 -0.00734478 -0.0515828
272 -0.0184054 -0.0254513 -0.00709011 -0.0509468
273 -0.0182961 -0.0251878 -0.00684578 -0.0503298
274 -0.0181918 -0.0249242 -0.00661002 -0.049726
275 -0.0180903 -0.0246583 -0.00638113 -0.0491298
276 -0.0179898 -0.0243884 -0.0061574 -0.0485356
277 -0.0178881 -0.0241126 -0.00593718 -0.0479379
278 -0.0177836 -0.023829 -0.00571884 -0.0473314
279 -0.0176741 -0.0235359 -0.00550082 -0.0467109
280 -0.017558 -0.0232315 -0.0052816 -0.0460712
281 -0.0174335 -0.0229142 -0.00505971 -0.0454074
282 -0.0172988 -0.0225823 -0.00483374 -0.0447149
283 -0.0171523 -0.0222343 -0.00460236 -0.0439889
284 -0.0169923 -0.0218686 -0.00436429 -0.0432252
285 -0.0168173 -0.0214838 -0.00411833 -0.0424194
286 -0.0166257 -0.0210785 -0.00386337 -0.0415676
287 -0.0164162 -0.0206515 -0.00359838 -0.0406661
288 -0.0161873 -0.0202014 -0.00332238 -0.0397111
289 -0.0159378 -0.0197272 -0.0030345 -0.0386995
290 -0.0156664 -0.0192276 -0.00273395 -0.037628
291 -0.015372 -0.0187018 -0.00242 -0.0364938
292 -0.0150534 -0.0181488 -0.00209198 -0.0352941
293 -0.0147096 -0.0175678 -0.00174932 -0.0340267
294 -0.0143397 -0.016958 -0.00139147 -0.0326892
295 -0.0139427 -0.016319 -0.00101798 -0.0312796
296 -0.0135177 -0.01565 -0.000628417 -0.0297962
297 -0.0130641 -0.0149507 -0.000222406 -0.0282373
298 -0.0125811 -0.0142208 0.000200367 -0.0266016
299 -0.0120681 -0.01346 0.000640191 -0.0248879
300 -0.0115245 -0.0126683 0.00109734 -0.0230954
301 -0.0109498 -0.0118455 0.00157203 -0.0212233
302 -0.0103437 -0.0109918 0.00206447 -0.019271
303 -0.00970582 -0.0101072 0.00257485 -0.0172382
304 -0.00903597 -0.00919207 0.00310332 -0.0151247
305 -0.00833402 -0.00824669 0.00365005 -0.0129307
306 -0.00759994 -0.00727143 0.00421518 -0.0106562
307 -0.00683376 -0.00626676 0.00479883 -0.00830169
308 -0.00603563 -0.00523317 0.00540115 -0.00586765
309 -0.00520579 -0.00417124 0.00602227 -0.00335476
310 -0.00434457 -0.00308159 0.00666231 -0.000763851
311 -0.00345236 -0.00196489 0.00732139 0.00190414
312 -0.00252962 -0.000821829 0.00799962 0.00464817
313 -0.00157691 0.000346866 0.00869711 0.00746706
314 -0.000594853 0.00154045 0.00941396 0.0103596
315 0.00041591 0.00275815 0.0101502 0.0133243
316 0.00145468 0.00399915 0.010906 0.0163599
317 0.00252074 0.00526263 0.0116814 0.0194648
318 0.00361333 0.00654779 0.0124763 0.0226375
319 0.00473168 0.00785376 0.0132909 0.0258764
320 0.00587502 0.00917971 0.0141251 0.0291798
321 0.00704257 0.0105248 0.0149788 0.0325461
322 0.00823354 0.0118881 0.0158519 0.0359736
323 0.00944715 0.0132687 0.0167444 0.0394603
324 0.0106826 0.0146659 0.0176559 0.0430044
325 0.0119391 0.0160786 0.0185863 0.046604
326 0.0132159 0.0175061 0.0195353 0.0502572
327 0.0145121 0.0189473 0.0205026 0.053962
328 0.0158271 0.0204015 0.0214877 0.0577163
329 0.01716 0.0218677 0.0224902 0.0615179
330 0.0185099 0.023345 0.0235096 0.0653645
331 0.0198761 0.0248326 0.0245454 0.0692541
332 0.0212578 0.0263295 0.0255968 0.0731841
333 0.0226539 0.0278349 0.0266632 0.0771521
334 0.0240638 0.0293479 0.0277439 0.0811556
335 0.0254864 0.0308675 0.0288381 0.085192
336 0.0269209 0.0323929 0.029945 0.0892587
337 0.0283662 0.0339231 0.0310636 0.0933529
