# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
336 0.00115458 0.00112094 0.00112212 0.00339764
337 0.00116141 0.00112757 0.00112875 0.00341774
338 0.00116827 0.00113422 0.0011354 0.0034379
339 0.00117514 0.0011409 0.00114208 0.00345811
340 0.00118204 0.00114759 0.00114877 0.00347839
341 0.00118896 0.0011543 0.00115548 0.00349873
342 0.00119589 0.00116103 0.00116221 0.00351913
343 0.00120285 0.00116778 0.00116896 0.00353959
344 0.00120982 0.00117455 0.00117573 0.0035601
345 0.00121682 0.00118134 0.00118252 0.00358068
346 0.00122384 0.00118815 0.00118933 0.00360132
347 0.00123088 0.00119497 0.00119616 0.00362201
348 0.00123793 0.00120182 0.00120301 0.00364277
349 0.00124501 0.00120869 0.00120988 0.00366358
350 0.00125211 0.00121558 0.00121677 0.00368446
351 0.00125923 0.00122249 0.00122368 0.00370539
352 0.00126637 0.00122941 0.0012306 0.00372639
353 0.00127353 0.00123636 0.00123755 0.00374744
354 0.00128071 0.00124333 0.00124452 0.00376856
355 0.00128791 0.00125031 0.0012515 0.00378973
356 0.00129513 0.00125732 0.00125851 0.00381096
357 0.00130237 0.00126435 0.00126554 0.00383226
358 0.00130964 0.00127139 0.00127258 0.00385361
359 0.00131692 0.00127846 0.00127965 0.00387502
360 0.00132422 0.00128554 0.00128673 0.0038965
361 0.00133155 0.00129265 0.00129384 0.00391803
362 0.00133889 0.00129977 0.00130096 0.00393962
363 0.00134625 0.00130692 0.00130811 0.00396128
364 0.00135364 0.00131408 0.00131527 0.00398299
365 0.00136104 0.00132126 0.00132246 0.00400476
366 0.00136847 0.00132847 0.00132966 0.0040266
367 0.00137591 0.00133569 0.00133688 0.00404849
368 0.00138338 0.00134294 0.00134413 0.00407044
369 0.00139087 0.0013502 0.00135139 0.00409245
370 0.00139837 0.00135748 0.00135867 0.00411453
371 0.0014059 0.00136478 0.00136597 0.00413666
372 0.00141345 0.00137211 0.0013733 0.00415885
373 0.00142102 0.00137945 0.00138064 0.0041811
374 0.00142861 0.00138681 0.001388 0.00420342
375 0.00143622 0.00139419 0.00139538 0.00422579
376 0.00144385 0.0014016 0.00140278 0.00424822
377 0.0014515 0.00140902 0.0014102 0.00427072
378 0.00145917 0.00141646 0.00141764 0.00429327
379 0.00146686 0.00142392 0.0014251 0.00431588
380 0.00147457 0.0014314 0.00143258 0.00433855
381 0.0014823 0.0014389 0.00144008 0.00436129
382 0.00149005 0.00144642 0.0014476 0.00438408
383 0.00149783 0.00145396 0.00145514 0.00440694
384 0.00150562 0.00146152 0.0014627 0.00442985
385 0.00151344 0.0014691 0.00147028 0.00445282
386 0.00152127 0.0014767 0.00147788 0.00447586
387 0.00152913 0.00148432 0.0014855 0.00449895
388 0.001537 0.00149196 0.00149314 0.00452211
389 0.0015449 0.00149962 0.0015008 0.00454532
390 0.00155282 0.0015073 0.00150847 0.0045686
391 0.00156075 0.001515 0.00151617 0.00459193
392 0.00156871 0.00152272 0.00152389 0.00461533
393 0.00157669 0.00153046 0.00153163 0.00463878
394 0.00158469 0.00153822 0.00153939 0.0046623
395 0.00159271 0.001546 0.00154716 0.00468587
396 0.00160075 0.0015538 0.00155496 0.00470951
397 0.00160881 0.00156162 0.00156278 0.00473321
398 0.00161689 0.00156946 0.00157061 0.00475697
399 0.001625 0.00157732 0.00157847 0.00478078
400 0.00163312 0.00158519 0.00158635 0.00480466
401 0.00164126 0.00159309 0.00159424 0.0048286
402 0.00164942 0.00160101 0.00160216 0.0048526
403 0.00165761 0.00160895 0.0016101 0.00487666
404 0.00166581 0.00161691 0.00161805 0.00490077
405 0.00167404 0.00162489 0.00162603 0.00492495
406 0.00168229 0.00163288 0.00163402 0.00494919
407 0.00169055 0.0016409 0.00164204 0.00497349
408 0.00169884 0.00164894 0.00165007 0.00499785
409 0.00170715 0.001657 0.00165813 0.00502228
410 0.00171548 0.00166508 0.00166621 0.00504676
411 0.00172383 0.00167317 0.0016743 0.0050713
412 0.0017322 0.00168129 0.00168241 0.0050959
413 0.00174059 0.00168943 0.00169055 0.00512056
414 0.001749 0.00169758 0.0016987 0.00514529
415 0.00175743 0.00170576 0.00170688 0.00517007
416 0.00176588 0.00171396 0.00171507 0.00519491
417 0.00177435 0.00172218 0.00172329 0.00521982
418 0.00178285 0.00173041 0.00173152 0.00524478
419 0.00179136 0.00173867 0.00173978 0.00526981
420 0.0017999 0.00174695 0.00174805 0.00529489
421 0.00180845 0.00175524 0.00175634 0.00532004
422 0.00181703 0.00176356 0.00176466 0.00534524
423 0.00182562 0.0017719 0.00177299 0.00537051
424 0.00183424 0.00178026 0.00178134 0.00539584
425 0.00184288 0.00178863 0.00178972 0.00542123
426 0.00185154 0.00179703 0.00179811 0.00544668
427 0.00186022 0.00180545 0.00180652 0.00547218
428 0.00186892 0.00181388 0.00181496 0.00549775
429 0.00187764 0.00182234 0.00182341 0.00552338
430 0.00188638 0.00183081 0.00183188 0.00554907
431 0.00189514 0.00183931 0.00184037 0.00557482
432 0.00190392 0.00184783 0.00184889 0.00560064
433 0.00191272 0.00185636 0.00185742 0.00562651
434 0.00192155 0.00186492 0.00186597 0.00565244
435 0.00193039 0.0018735 0.00187454 0.00567843
436 0.00193926 0.00188209 0.00188314 0.00570449
437 0.00194814 0.00189071 0.00189175 0.0057306
438 0.00195705 0.00189934 0.00190038 0.00575677
439 0.00196598 0.001908 0.00190903 0.00578301
440 0.00197492 0.00191668 0.0019177 0.0058093
441 0.00198389 0.00192537 0.00192639 0.00583566
442 0.00199288 0.00193409 0.00193511 0.00586208
443 0.00200189 0.00194282 0.00194384 0.00588855
444 0.00201092 0.00195158 0.00195259 0.00591509
445 0.00201997 0.00196036 0.00196136 0.00594169
446 0.00202904 0.00196915 0.00197015 0.00596834
447 0.00203813 0.00197797 0.00197896 0.00599506
448 0.00204725 0.0019868 0.00198779 0.00602184
449 0.00205638 0.00199566 0.00199664 0.00604868
450 0.00206553 0.00200453 0.00200551 0.00607558
451 0.00207471 0.00201343 0.0020144 0.00610254
452 0.0020839 0.00202234 0.00202332 0.00612956
453 0.00209312 0.00203128 0.00203225 0.00615665
454 0.00210236 0.00204024 0.0020412 0.00618379
455 0.00211161 0.00204921 0.00205017 0.00621099
456 0.00212089 0.00205821 0.00205916 0.00623825
457 0.00213019 0.00206722 0.00206817 0.00626558
458 0.00213951 0.00207626 0.0020772 0.00629296
459 0.00214885 0.00208531 0.00208624 0.00632041
460 0.00215821 0.00209439 0.00209531 0.00634791
461 0.00216759 0.00210348 0.0021044 0.00637548
462 0.00217699 0.0021126 0.00211351 0.0064031
463 0.00218642 0.00212173 0.00212264 0.00643079
464 0.00219586 0.00213089 0.00213179 0.00645854
465 0.00220532 0.00214006 0.00214096 0.00648634
466 0.00221481 0.00214926 0.00215015 0.00651421
467 0.00222431 0.00215847 0.00215936 0.00654214
468 0.00223384 0.0021677 0.00216859 0.00657013
469 0.00224338 0.00217696 0.00217783 0.00659818
470 0.00225295 0.00218623 0.0021871 0.00662629
471 0.00226254 0.00219553 0.00219639 0.00665446
472 0.00227215 0.00220484 0.0022057 0.00668269
473 0.00228178 0.00221418 0.00221503 0.00671098
474 0.00229143 0.00222353 0.00222437 0.00673933
475 0.0023011 0.0022329 0.00223374 0.00676774
476 0.00231079 0.0022423 0.00224313 0.00679621
477 0.0023205 0.00225171 0.00225254 0.00682474
478 0.00233023 0.00226114 0.00226196 0.00685334
479 0.00233998 0.0022706 0.00227141 0.00688199
480 0.00234975 0.00228007 0.00228088 0.0069107
481 0.00235955 0.00228956 0.00229036 0.00693948
482 0.00236936 0.00229908 0.00229987 0.00696831
483 0.0023792 0.00230861 0.0023094 0.0069972
484 0.00238905 0.00231816 0.00231894 0.00702616
485 0.00239893 0.00232774 0.00232851 0.00705517
486 0.00240883 0.00233733 0.00233809 0.00708425
487 0.00241874 0.00234694 0.0023477 0.00711338
488 0.00242868 0.00235657 0.00235732 0.00714258
489 0.00243864 0.00236623 0.00236697 0.00717184
490 0.00244862 0.0023759 0.00237663 0.00720115
491 0.00245862 0.00238559 0.00238632 0.00723053
492 0.00246864 0.0023953 0.00239602 0.00725996
493 0.00247868 0.00240504 0.00240575 0.00728946
494 0.00248874 0.00241479 0.00241549 0.00731902
495 0.00249882 0.00242456 0.00242525 0.00734864
496 0.00250893 0.00243435 0.00243504 0.00737831
497 0.00251905 0.00244416 0.00244484 0.00740805
