# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
498 1.00718 0.977412 0.976325 2.96091
499 1.00715 0.977385 0.97629 2.96083
500 1.00713 0.977357 0.976253 2.96074
501 1.0071 0.977329 0.976217 2.96065
502 1.00707 0.9773 0.976179 2.96055
503 1.00705 0.977271 0.976141 2.96046
504 1.00702 0.977241 0.976103 2.96036
505 1.00699 0.977211 0.976064 2.96027
506 1.00696 0.97718 0.976025 2.96017
507 1.00693 0.977148 0.975985 2.96007
508 1.0069 0.977116 0.975944 2.95996
509 1.00687 0.977084 0.975903 2.95986
510 1.00684 0.97705 0.975861 2.95975
511 1.00681 0.977017 0.975819 2.95965
512 1.00678 0.976982 0.975776 2.95954
513 1.00675 0.976947 0.975732 2.95943
514 1.00671 0.976912 0.975688 2.95931
515 1.00668 0.976876 0.975644 2.9592
516 1.00665 0.976839 0.975599 2.95908
517 1.00661 0.976802 0.975553 2.95897
518 1.00657 0.976764 0.975507 2.95885
519 1.00654 0.976726 0.97546 2.95872
520 1.0065 0.976687 0.975412 2.9586
521 1.00646 0.976647 0.975364 2.95848
522 1.00643 0.976607 0.975315 2.95835
523 1.00639 0.976566 0.975266 2.95822
524 1.00635 0.976525 0.975216 2.95809
525 1.00631 0.976483 0.975165 2.95796
526 1.00627 0.97644 0.975114 2.95782
527 1.00623 0.976397 0.975062 2.95769
528 1.00618 0.976353 0.97501 2.95755
529 1.00614 0.976308 0.974957 2.95741
530 1.0061 0.976263 0.974903 2.95726
531 1.00605 0.976217 0.974849 2.95712
532 1.00601 0.976171 0.974794 2.95697
533 1.00597 0.976123 0.974738 2.95683
534 1.00592 0.976076 0.974682 2.95668
535 1.00587 0.976027 0.974625 2.95652
536 1.00583 0.975978 0.974567 2.95637
537 1.00578 0.975928 0.974509 2.95621
538 1.00573 0.975878 0.97445 2.95606
539 1.00568 0.975827 0.97439 2.9559
540 1.00563 0.975775 0.97433 2.95573
541 1.00558 0.975723 0.974269 2.95557
542 1.00553 0.975669 0.974207 2.9554
543 1.00548 0.975615 0.974145 2.95524
544 1.00542 0.975561 0.974082 2.95507
