Time,TotEng,Temp,Press,,Step,TotEng,Temp,Press,Density
2.44,-3.0003809,1.380712,2.3032134,,2440,-1.4294421,1.5444468,0.25130223,0.58242415
2.45,-3.0018135,1.3483044,2.5070298,,2450,-1.4168535,1.548231,0.23247562,0.58136403
2.46,-3.0012865,1.3095026,2.7454188,,2460,-1.4054869,1.5434862,0.25497826,0.58044086
2.47,-3.0024484,1.2713661,2.9700605,,2470,-1.3947116,1.5335232,0.30723025,0.57965205
2.48,-3.0016505,1.2460385,3.1235849,,2480,-1.3843197,1.5206162,0.38039107,0.57898906
2.49,-3.0000879,1.2457287,3.1464421,,2490,-1.375428,1.5053292,0.47005296,0.57843898
2.5,-3.0002376,1.265476,3.060008,,2500,-1.3664705,1.4865876,0.58000327,0.57798531
2.51,-3.0009044,1.2855656,2.9613622,,2510,-1.3582951,1.4645971,0.70686884,0.57760748
2.52,-3.000259,1.2920161,2.9235044,,2520,-1.3472295,1.4398777,0.84991288,0.57728111
2.53,-3.0005236,1.2807701,2.964673,,2530,-1.3347656,1.4165725,0.98888117,0.57697877
2.54,-3.0006478,1.2527543,3.0799006,,2540,-1.318985,1.4065032,1.0820671,0.5766737
2.55,-3.000888,1.2193634,3.2103821,,2550,-1.3000402,1.422788,1.0832219,0.57634809
2.56,-3.0011311,1.2067674,3.2335962,,2560,-1.2774231,1.4645428,0.99564777,0.57600139
2.57,-3.0004975,1.2321287,3.0754271,,2570,-1.2517891,1.5100851,0.89034496,0.57564951
2.58,-2.9990896,1.2772147,2.8253454,,2580,-1.2247719,1.5457314,0.81177262,0.57531245
2.59,-2.9988324,1.3102407,2.6321525,,2590,-1.1970115,1.5882935,0.71038922,0.57500713
2.6,-3.0001261,1.3221685,2.5429186,,2600,-1.169663,1.6341769,0.60316459,0.57475395
2.61,-2.9986828,1.3210249,2.5298858,,2610,-1.1470024,1.6501805,0.59622419,0.57457316
2.62,-2.999986,1.3147586,2.5460905,,2620,-1.1274179,1.6290879,0.71576197,0.57446677
2.63,-3.0016809,1.3075007,2.5734539,,2630,-1.1100228,1.5865989,0.90786586,0.57441296
2.64,-3.0007645,1.3016604,2.6038495,,2640,-1.0970872,1.5455855,1.0888188,0.57437559
2.65,-3.0022049,1.3006885,2.6146118,,2650,-1.0843908,1.5354416,1.1647761,0.5743202
2.66,-3.0014386,1.3009563,2.6324752,,2660,-1.0728528,1.5681442,1.099221,0.57423216
2.67,-3.0017165,1.2865057,2.7260015,,2670,-1.0617718,1.6035722,1.0265466,0.57412159
2.68,-3.0022365,1.2439681,2.9542124,,2680,-1.0527146,1.6129759,1.0424171,0.57400108
2.69,-3.0016804,1.1827889,3.268727,,2690,-1.0453013,1.5945051,1.1534695,0.57386721
2.7,-3.0024328,1.1383755,3.4959522,,2700,-1.0408999,1.5596008,1.3152105,0.57369841
